"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.05.2022","2,075","1,889","2,190","1,804","4,56M","2,72%"
"05.05.2022","2,020","1,805","2,120","1,800","10,73M","1,92%"
"04.05.2022","1,982","1,805","2,050","1,805","8,89M","2,96%"
"03.05.2022","1,925","1,700","2,100","1,630","11,96M","13,24%"
"29.04.2022","1,700","1,700","1,925","1,440","14,50M","4,45%"
"28.04.2022","1,628","1,440","1,701","1,440","7,73M","-1,96%"
"27.04.2022","1,660","1,625","1,795","1,505","3,55M","-2,64%"
"26.04.2022","1,705","1,550","1,808","1,491","5,97M","14,28%"
"25.04.2022","1,492","1,600","1,600","1,405","4,17M","-1,71%"
"22.04.2022","1,518","1,550","1,630","1,432","3,80M","1,74%"
"21.04.2022","1,492","1,476","1,550","1,425","3,98M","-2,16%"
"20.04.2022","1,525","1,674","1,740","1,450","4,75M","-4,84%"
"19.04.2022","1,602","1,740","1,740","1,400","3,69M","-5,74%"
"14.04.2022","1,700","1,600","1,800","1,510","1,82M","2,10%"
"13.04.2022","1,665","1,515","1,795","1,420","9,28M","-3,20%"
"12.04.2022","1,720","1,840","1,840","1,555","2,91M","-2,27%"
"11.04.2022","1,760","1,720","1,780","1,515","5,58M","8,64%"
"08.04.2022","1,620","1,835","1,835","1,520","25,48M","0,00%"
"07.04.2022","1,620","1,550","1,885","1,520","1,62M","-5,81%"
"06.04.2022","1,720","1,555","1,890","1,550","1,78M","0,00%"
"05.04.2022","1,720","1,895","1,895","1,527","2,08M","0,58%"
"04.04.2022","1,710","1,700","1,995","1,520","7,48M","-7,57%"
"01.04.2022","1,850","1,900","2,100","1,667","5,45M","0,00%"
"31.03.2022","1,850","1,802","2,195","1,764","7,09M","-3,90%"
"30.03.2022","1,925","1,850","2,200","1,827","14,93M","-1,28%"
"29.03.2022","1,950","1,566","2,495","1,402","26,21M","21,19%"
"28.03.2022","1,609","1,400","1,790","1,400","7,75M","10,97%"
"25.03.2022","1,450","1,452","1,782","1,400","1,75M","-6,45%"
"24.03.2022","1,550","1,402","1,698","1,402","2,93M","-3,13%"
"23.03.2022","1,600","1,550","1,800","1,400","8,20M","1,59%"
"22.03.2022","1,575","1,700","1,700","1,450","765,16K","-1,56%"
"21.03.2022","1,600","1,400","1,700","1,400","2,93M","3,23%"
"18.03.2022","1,550","1,700","1,700","1,402","6,71M","-3,13%"
"17.03.2022","1,600","1,510","1,898","1,402","14,54M","3,23%"
"16.03.2022","1,550","1,300","1,898","1,002","22,78M","34,78%"
"15.03.2022","1,150","1,265","1,698","1,014","14,67M","-12,75%"
"14.03.2022","1,318","1,220","1,610","1,100","12,90M","7,86%"
"11.03.2022","1,222","1,300","1,498","1,100","4,54M","-0,24%"
"10.03.2022","1,225","1,600","1,600","1,100","10,29M","-15,52%"
"09.03.2022","1,450","1,674","1,890","1,300","11,11M","-4,92%"
"08.03.2022","1,525","1,125","2,190","1,066","51,17M","34,60%"
"07.03.2022","1,133","0,910","1,300","0,752","50,16M","13,30%"
"04.03.2022","1,000","1,132","1,250","0,956","25,47M","-17,70%"
"03.03.2022","1,215","1,084","1,400","1,084","13,08M","-4,71%"
"02.03.2022","1,275","1,350","1,446","1,152","24,98M","-10,53%"
"01.03.2022","1,425","1,300","1,850","1,300","14,05M","-9,52%"
"28.02.2022","1,575","1,750","1,810","1,422","28,97M","-25,97%"
"25.02.2022","2,128","1,752","2,415","1,729","15,89M","15,00%"
"24.02.2022","1,850","2,000","2,100","1,502","33,91M","-26,00%"
"23.02.2022","2,500","2,255","2,840","1,850","47,11M","6,61%"
"22.02.2022","2,345","2,895","2,895","2,105","55,08M","-20,03%"
"21.02.2022","2,932","3,195","3,450","2,678","23,60M","-8,22%"
"18.02.2022","3,195","3,160","3,490","3,150","7,52M","-1,62%"
"17.02.2022","3,247","3,315","3,485","3,100","11,16M","-4,49%"
"16.02.2022","3,400","3,495","3,495","3,150","5,31M","1,80%"
"15.02.2022","3,340","3,200","3,495","3,030","7,84M","6,03%"
"14.02.2022","3,150","3,735","3,735","3,015","15,41M","-16,00%"
"11.02.2022","3,750","3,395","3,750","3,000","15,36M","14,24%"
"10.02.2022","3,283","3,447","3,447","3,005","6,18M","-3,17%"
"09.02.2022","3,390","3,255","3,500","3,255","6,93M","-0,29%"
"08.02.2022","3,400","3,745","3,745","3,300","12,05M","-4,23%"
"07.02.2022","3,550","3,800","3,850","3,400","8,18M","-5,33%"
"04.02.2022","3,750","3,312","3,840","3,255","17,91M","7,14%"
"03.02.2022","3,500","3,485","3,935","3,005","31,58M","0,07%"
"02.02.2022","3,497","2,900","3,670","2,700","31,81M","20,60%"
"01.02.2022","2,900","3,300","3,525","2,762","45,68M","-17,14%"
"31.01.2022","3,500","3,650","3,900","3,385","18,62M","-4,11%"
"28.01.2022","3,650","3,800","3,950","3,514","31,25M","-6,41%"
"27.01.2022","3,900","3,400","4,000","3,216","42,59M","13,04%"
"26.01.2022","3,450","3,500","4,005","3,025","79,84M","-1,43%"
"25.01.2022","3,500","2,285","4,500","2,120","159,26M","68,67%"
"24.01.2022","2,075","2,100","2,350","1,950","23,45M","3,75%"
"21.01.2022","2,000","1,702","2,139","1,702","13,38M","12,68%"
"20.01.2022","1,775","1,800","1,835","1,700","3,83M","-3,16%"
"19.01.2022","1,833","1,700","1,846","1,700","2,78M","4,44%"
"18.01.2022","1,755","1,712","1,848","1,702","1,69M","-2,50%"
"17.01.2022","1,800","1,800","1,898","1,572","1,21M","-2,65%"
"14.01.2022","1,849","1,534","1,896","1,534","2,51M","2,89%"
"13.01.2022","1,797","1,534","1,894","1,534","1,55M","5,71%"
"12.01.2022","1,700","1,800","1,898","1,700","3,51M","-5,50%"
"11.01.2022","1,799","1,900","1,900","1,702","996,49K","0,50%"
"10.01.2022","1,790","1,754","1,900","1,722","1,82M","-1,05%"
"07.01.2022","1,809","1,798","1,870","1,700","6,39M","3,43%"
"06.01.2022","1,749","1,798","1,798","1,650","1,82M","1,16%"
"05.01.2022","1,729","1,900","1,900","1,680","3,76M","4,79%"
"04.01.2022","1,650","1,740","1,760","1,650","3,06M","-3,23%"
"31.12.2021","1,705","1,653","1,715","1,616","2,07M","0,35%"
"30.12.2021","1,699","1,798","1,798","1,600","3,39M","0,06%"
"29.12.2021","1,698","1,750","1,750","1,589","813,11K","-5,51%"
"24.12.2021","1,797","1,840","1,840","1,700","213,40K","1,24%"
"23.12.2021","1,775","1,700","1,850","1,700","710,34K","4,41%"
"22.12.2021","1,700","1,843","1,843","1,620","724,48K","-3,95%"
"21.12.2021","1,770","1,648","1,789","1,648","4,53M","9,87%"
"20.12.2021","1,611","1,758","1,758","1,560","1,60M","-3,24%"
"17.12.2021","1,665","1,744","1,744","1,600","2,01M","4,06%"
"16.12.2021","1,600","1,624","1,798","1,600","254,38K","-3,96%"
"15.12.2021","1,666","1,795","1,898","1,602","1,56M","-6,14%"
"14.12.2021","1,775","1,626","1,842","1,602","2,52M","2,96%"
"13.12.2021","1,724","1,680","1,798","1,640","830,93K","2,62%"
"10.12.2021","1,680","1,602","1,738","1,584","1,05M","1,69%"
"09.12.2021","1,652","1,700","1,740","1,654","207,29K","-1,37%"
"08.12.2021","1,675","1,700","1,740","1,586","776,69K","-2,62%"
"07.12.2021","1,720","1,650","1,745","1,530","2,23M","4,56%"
"06.12.2021","1,645","1,750","1,755","1,580","3,50M","-2,08%"
"03.12.2021","1,680","1,698","1,858","1,680","11,06M","8,18%"
"02.12.2021","1,553","1,749","1,749","1,502","7,84M","-8,70%"
"01.12.2021","1,701","1,711","1,858","1,588","5,76M","-1,10%"
"30.11.2021","1,720","1,860","1,860","1,720","2,24M","-5,18%"
"29.11.2021","1,814","1,604","1,950","1,604","4,56M","-1,09%"
"26.11.2021","1,834","1,898","1,898","1,702","7,39M","-0,33%"
"25.11.2021","1,840","1,909","1,960","1,840","4,97M","-0,54%"
"24.11.2021","1,850","1,898","1,978","1,826","7,45M","-5,08%"
"23.11.2021","1,949","1,998","1,998","1,898","3,00M","0,00%"
"22.11.2021","1,949","1,902","2,000","1,890","3,45M","0,00%"
"19.11.2021","1,949","1,911","1,996","1,902","1,01M","0,46%"
"18.11.2021","1,940","1,980","1,990","1,900","516,47K","0,00%"
"17.11.2021","1,940","1,900","2,000","1,898","1,84M","-0,51%"
"16.11.2021","1,950","1,950","1,988","1,898","3,34M","0,00%"
"15.11.2021","1,950","2,095","2,095","1,905","5,92M","-3,89%"
"12.11.2021","2,029","1,960","2,030","1,952","5,75M","1,25%"
"11.11.2021","2,004","1,902","2,135","1,902","5,58M","1,78%"
"10.11.2021","1,969","2,020","2,100","1,906","3,53M","-0,76%"
"09.11.2021","1,984","2,050","2,075","1,906","3,99M","-1,54%"
"08.11.2021","2,015","2,005","2,140","1,980","12,94M","1,51%"
"05.11.2021","1,985","1,854","2,016","1,854","6,03M","0,56%"
"04.11.2021","1,974","2,000","2,030","1,948","5,48M","0,00%"
"03.11.2021","1,974","2,045","2,045","1,933","2,38M","-1,30%"
"02.11.2021","2,000","2,045","2,050","1,948","1,90M","0,05%"
"01.11.2021","1,999","1,850","2,045","1,850","3,73M","3,84%"
"29.10.2021","1,925","2,040","2,040","1,866","4,31M","-2,28%"
"28.10.2021","1,970","2,095","2,095","1,900","2,98M","-1,50%"
"27.10.2021","2,000","1,802","2,105","1,802","1,41M","6,10%"
"26.10.2021","1,885","2,050","2,050","1,854","3,92M","-5,99%"
"25.10.2021","2,005","1,948","2,180","1,902","2,99M","-0,82%"
"22.10.2021","2,022","1,902","2,195","1,902","891,53K","1,08%"
"21.10.2021","2,000","2,095","2,095","1,902","1,94M","0,13%"
"20.10.2021","1,997","2,047","2,140","1,910","1,72M","-1,31%"
"19.10.2021","2,024","2,150","2,150","1,950","2,09M","-2,93%"
"18.10.2021","2,085","2,200","2,230","1,999","8,21M","-1,77%"
"15.10.2021","2,122","2,060","2,256","1,828","12,04M","5,78%"
"14.10.2021","2,007","1,802","2,065","1,802","5,55M","0,07%"
"13.10.2021","2,005","1,802","2,010","1,802","7,13M","0,17%"
"12.10.2021","2,001","1,865","2,060","1,865","4,88M","3,65%"
"11.10.2021","1,931","1,800","2,065","1,800","1,03M","0,44%"
"08.10.2021","1,923","1,852","2,065","1,852","3,19M","-0,65%"
"07.10.2021","1,935","1,802","2,095","1,800","76,28K","-0,64%"
"06.10.2021","1,947","1,955","2,095","1,802","1,83M","-0,13%"
"05.10.2021","1,950","1,988","2,095","1,802","4,03M","2,44%"
"04.10.2021","1,903","1,902","2,025","1,822","5,62M","-1,48%"
"01.10.2021","1,932","1,998","2,027","1,850","6,65M","1,85%"
"30.09.2021","1,897","2,135","2,135","1,750","8,34M","-8,25%"
"29.09.2021","2,068","1,938","2,140","1,877","13,00M","5,00%"
"28.09.2021","1,969","1,938","2,095","1,938","1,49M","1,03%"
"27.09.2021","1,949","1,938","2,140","1,938","3,04M","0,46%"
"24.09.2021","1,940","2,140","2,140","1,860","3,18M","-6,73%"
"23.09.2021","2,080","1,942","2,185","1,942","3,46M","4,39%"
"22.09.2021","1,992","1,948","2,060","1,938","2,01M","-0,03%"
"21.09.2021","1,993","2,035","2,080","1,936","3,35M","0,53%"
"20.09.2021","1,982","2,090","2,095","1,874","6,37M","-2,34%"
"17.09.2021","2,030","1,912","2,140","1,912","6,39M","1,25%"
"16.09.2021","2,005","1,998","2,180","1,833","13,29M","-1,91%"
"15.09.2021","2,044","1,998","2,200","1,998","1,24M","-2,15%"
"14.09.2021","2,089","2,100","2,295","1,998","4,68M","3,21%"
"13.09.2021","2,024","2,100","2,100","1,998","2,01M","0,62%"
"10.09.2021","2,011","2,095","2,095","1,870","7,51M","0,57%"
"09.09.2021","2,000","1,866","2,063","1,866","2,47M","2,83%"
"08.09.2021","1,945","1,838","2,085","1,802","7,13M","3,13%"
"07.09.2021","1,886","1,804","1,986","1,804","3,32M","-0,42%"
"06.09.2021","1,894","1,900","2,065","1,802","6,88M","1,23%"
"03.09.2021","1,871","2,001","2,100","1,802","14,94M","-12,37%"
"02.09.2021","2,135","2,270","2,280","2,011","6,78M","-2,95%"
"01.09.2021","2,200","2,270","2,300","2,025","4,27M","-1,35%"
"31.08.2021","2,230","2,050","2,280","2,020","8,23M","5,19%"
"27.08.2021","2,120","2,100","2,395","1,998","2,87M","3,59%"
"26.08.2021","2,046","2,100","2,100","1,930","3,14M","0,12%"
"25.08.2021","2,044","2,015","2,195","1,861","5,19M","4,02%"
"24.08.2021","1,965","1,898","2,195","1,898","3,58M","0,92%"
"23.08.2021","1,947","1,902","2,195","1,755","8,10M","5,07%"
"20.08.2021","1,853","2,400","2,693","1,755","49,26M","-24,37%"
"19.08.2021","2,450","2,150","2,690","2,000","51,66M","16,53%"
"18.08.2021","2,102","1,998","2,250","1,850","22,15M","13,77%"
"17.08.2021","1,848","2,000","2,145","1,702","11,27M","3,41%"
"16.08.2021","1,787","1,765","1,855","1,682","1,31M","2,23%"
"13.08.2021","1,748","1,652","1,848","1,652","845,41K","1,98%"
"12.08.2021","1,714","1,750","1,820","1,656","2,70M","-4,72%"
"11.08.2021","1,799","1,845","1,850","1,723","5,56M","-2,28%"
"10.08.2021","1,841","1,780","1,900","1,778","2,49M","0,11%"
"09.08.2021","1,839","1,792","1,948","1,774","4,01M","0,27%"
"06.08.2021","1,834","1,820","1,958","1,774","13,28M","0,05%"
"05.08.2021","1,833","1,630","1,950","1,628","28,58M","12,59%"
"04.08.2021","1,628","1,628","1,850","1,588","5,38M","1,81%"
"03.08.2021","1,599","1,654","1,654","1,588","2,27M","-2,32%"
"02.08.2021","1,637","1,580","1,650","1,580","3,34M","2,96%"
"30.07.2021","1,590","1,638","1,660","1,570","1,69M","-1,43%"
"29.07.2021","1,613","1,640","1,650","1,588","5,23M","-0,37%"
"28.07.2021","1,619","1,648","1,650","1,557","6,70M","0,94%"
"27.07.2021","1,604","1,646","1,650","1,570","909,55K","0,00%"
"26.07.2021","1,604","1,648","1,648","1,550","917,28K","0,44%"
"23.07.2021","1,597","1,552","1,648","1,512","2,55M","3,03%"
"22.07.2021","1,550","1,581","1,629","1,510","8,49M","-7,74%"
"21.07.2021","1,680","1,596","1,680","1,578","1,82M","5,86%"
"20.07.2021","1,587","1,726","1,726","1,548","5,65M","0,89%"
"19.07.2021","1,573","1,570","1,640","1,510","7,91M","-1,87%"
"16.07.2021","1,603","1,700","1,700","1,548","2,66M","-1,05%"
"15.07.2021","1,620","1,610","1,630","1,500","13,39M","0,75%"
"14.07.2021","1,608","1,686","1,686","1,608","7,34M","-2,43%"
"13.07.2021","1,648","1,748","1,748","1,610","6,96M","-1,44%"
"12.07.2021","1,672","1,604","1,734","1,600","1,06M","0,72%"
"09.07.2021","1,660","1,600","1,738","1,598","1,47M","3,88%"
"08.07.2021","1,598","1,750","1,750","1,598","2,36M","-4,71%"
"07.07.2021","1,677","1,640","1,766","1,604","1,76M","0,54%"
"06.07.2021","1,668","1,656","1,770","1,612","8,03M","0,48%"
"05.07.2021","1,660","1,651","1,700","1,500","16,59M","4,40%"
"02.07.2021","1,590","1,640","1,680","1,550","2,88M","-0,38%"
"01.07.2021","1,596","1,650","1,742","1,548","3,99M","-1,42%"
"30.06.2021","1,619","1,520","1,712","1,520","4,71M","4,59%"
"29.06.2021","1,548","1,598","1,744","1,548","7,04M","-6,12%"
"28.06.2021","1,649","1,590","1,730","1,572","4,48M","0,24%"
"25.06.2021","1,645","1,590","1,748","1,557","1,07M","0,00%"
"24.06.2021","1,645","1,582","1,744","1,570","2,90M","4,11%"
"23.06.2021","1,580","1,720","1,720","1,580","2,52M","-4,30%"
"22.06.2021","1,651","1,620","1,718","1,582","1,18M","-2,65%"
"21.06.2021","1,696","1,650","1,798","1,600","3,94M","1,50%"
"18.06.2021","1,671","1,630","1,750","1,572","4,28M","4,57%"
"17.06.2021","1,598","1,648","1,650","1,542","5,96M","1,78%"
"16.06.2021","1,570","1,730","1,800","1,570","2,64M","-4,03%"
"15.06.2021","1,636","1,644","1,848","1,470","10,48M","3,09%"
"14.06.2021","1,587","1,590","1,646","1,444","3,80M","2,39%"
"11.06.2021","1,550","1,600","1,648","1,436","4,38M","0,00%"
"10.06.2021","1,550","1,462","1,640","1,400","4,86M","8,39%"
"09.06.2021","1,430","1,520","1,520","1,401","3,92M","-2,59%"
"08.06.2021","1,468","1,450","1,520","1,406","1,42M","1,17%"
"07.06.2021","1,451","1,490","1,490","1,400","3,86M","-1,89%"
"04.06.2021","1,479","1,570","1,570","1,458","2,80M","-2,63%"
"03.06.2021","1,519","1,498","1,556","1,482","3,47M","0,33%"
"02.06.2021","1,514","1,598","1,598","1,466","2,14M","-0,07%"
"01.06.2021","1,515","1,570","1,596","1,402","3,48M","0,40%"
"28.05.2021","1,509","1,536","1,576","1,450","2,76M","-1,11%"
"27.05.2021","1,526","1,640","1,640","1,454","1,73M","-0,33%"
"26.05.2021","1,531","1,570","1,608","1,494","1,16M","-1,42%"
"25.05.2021","1,553","1,543","1,618","1,480","4,52M","4,58%"
"24.05.2021","1,485","1,460","1,640","1,452","3,14M","-0,34%"
"21.05.2021","1,490","1,488","1,688","1,430","3,34M","2,76%"
"20.05.2021","1,450","1,452","1,596","1,412","1,25M","-1,23%"
"19.05.2021","1,468","1,660","1,660","1,436","4,66M","-4,68%"
"18.05.2021","1,540","1,688","1,688","1,520","3,54M","-4,23%"
"17.05.2021","1,608","1,550","1,648","1,484","6,88M","6,84%"
"14.05.2021","1,505","1,518","1,550","1,456","4,09M","-0,27%"
"13.05.2021","1,509","1,420","1,560","1,412","11,18M","1,34%"
"12.05.2021","1,489","1,452","1,574","1,452","3,55M","-1,72%"
"11.05.2021","1,515","1,434","1,560","1,428","5,21M","2,64%"
"10.05.2021","1,476","1,460","1,518","1,400","3,04M","2,71%"
"07.05.2021","1,437","1,518","1,518","1,402","4,19M","-1,24%"
"06.05.2021","1,455","1,390","1,510","1,370","3,46M","0,48%"
"05.05.2021","1,448","1,490","1,548","1,352","2,92M","-0,48%"
"04.05.2021","1,455","1,580","1,580","1,400","4,60M","-3,26%"
"30.04.2021","1,504","1,530","1,668","1,480","7,39M","-4,69%"
"29.04.2021","1,578","1,716","1,716","1,509","3,85M","-4,07%"
"28.04.2021","1,645","1,621","1,748","1,552","5,51M","0,06%"
"27.04.2021","1,644","1,716","1,746","1,612","4,40M","-1,44%"
"26.04.2021","1,668","1,778","1,778","1,596","5,76M","0,06%"
"23.04.2021","1,667","1,610","1,780","1,584","2,06M","0,66%"
"22.04.2021","1,656","1,600","1,718","1,600","1,53M","0,98%"
"21.04.2021","1,640","1,740","1,748","1,600","4,78M","-2,84%"
"20.04.2021","1,688","1,726","1,748","1,600","2,43M","1,50%"
"19.04.2021","1,663","1,790","1,790","1,626","8,89M","-2,81%"
"16.04.2021","1,711","1,664","1,788","1,620","8,12M","2,95%"
"15.04.2021","1,662","1,750","1,798","1,606","4,78M","-3,37%"
"14.04.2021","1,720","1,680","1,748","1,552","5,03M","4,88%"
"13.04.2021","1,640","1,580","1,798","1,576","7,79M","3,80%"
"12.04.2021","1,580","1,700","1,850","1,568","7,46M","-11,24%"
"09.04.2021","1,780","1,616","1,918","1,616","19,64M","6,71%"
"08.04.2021","1,668","1,476","1,658","1,451","10,57M","11,35%"
"07.04.2021","1,498","1,608","1,610","1,451","10,09M","-5,79%"
"06.04.2021","1,590","1,534","1,590","1,352","17,09M","13,57%"
"01.04.2021","1,400","1,500","1,548","1,400","13,48M","-4,76%"
"31.03.2021","1,470","1,400","1,535","1,380","20,26M","5,00%"
"30.03.2021","1,400","1,270","1,400","1,270","8,15M","8,11%"
"29.03.2021","1,295","1,300","1,400","1,225","9,17M","-2,45%"
"26.03.2021","1,327","1,365","1,425","1,215","12,75M","0,19%"
"25.03.2021","1,325","1,300","1,405","1,220","9,09M","-2,57%"
"24.03.2021","1,360","1,420","1,465","1,320","4,49M","1,49%"
"23.03.2021","1,340","1,400","1,495","1,307","8,33M","-5,80%"
"22.03.2021","1,423","1,490","1,515","1,390","6,14M","-2,90%"
"19.03.2021","1,465","1,510","1,530","1,365","7,65M","0,00%"
