"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.05.2022","1,70","1,98","2,00","1,60","54,00M","-13,27%"
"05.05.2022","1,96","1,95","2,06","1,80","15,59M","0,00%"
"04.05.2022","1,96","2,04","2,08","1,75","20,65M","-1,95%"
"03.05.2022","2,00","1,77","2,24","1,77","10,23M","-4,81%"
"29.04.2022","2,10","2,15","2,30","1,52","23,45M","-8,62%"
"28.04.2022","2,30","2,34","2,67","2,00","20,23M","-4,25%"
"27.04.2022","2,40","1,91","2,40","1,91","16,50M","21,21%"
"26.04.2022","1,98","2,30","2,37","1,50","20,27M","-5,71%"
"25.04.2022","2,10","2,30","2,50","1,91","29,94M","5,00%"
"22.04.2022","2,00","2,50","3,10","2,00","81,27M","2,56%"
"21.04.2022","1,95","1,44","2,50","1,43","64,48M","21,88%"
"20.04.2022","1,60","1,70","1,99","1,34","93,93M","-24,53%"
"19.04.2022","2,12","2,48","2,86","1,70","86,15M","-14,65%"
"14.04.2022","2,48","2,50","2,78","2,05","173,49M","-17,20%"
"13.04.2022","3,00","3,05","3,30","2,48","43,88M","3,45%"
"12.04.2022","2,90","2,92","3,22","2,81","31,66M","-2,68%"
"11.04.2022","2,98","3,31","3,43","2,80","60,44M","6,35%"
"08.04.2022","2,80","2,98","3,49","2,30","88,29M","14,37%"
"07.04.2022","2,45","3,12","3,54","2,45","93,87M","-17,51%"
"06.04.2022","2,97","3,50","4,05","2,97","85,86M","-10,00%"
"05.04.2022","3,30","4,12","4,12","3,30","55,83M","-14,29%"
"04.04.2022","3,85","4,32","4,32","3,27","55,93M","13,24%"
"01.04.2022","3,40","4,09","4,09","3,40","59,44M","-15,00%"
"31.03.2022","4,00","4,50","4,68","3,60","71,59M","-4,76%"
"30.03.2022","4,20","5,00","5,50","3,50","176,83M","-15,66%"
"29.03.2022","4,98","2,97","5,00","2,80","318,77M","66,00%"
"28.03.2022","3,00","1,46","3,20","1,40","234,22M","100,00%"
"25.03.2022","1,50","1,40","1,73","1,05","167,09M","-16,06%"
"24.03.2022","1,79","1,80","2,49","1,62","173,88M","3,29%"
"23.03.2022","1,73","1,80","2,12","1,56","58,84M","1,76%"
"22.03.2022","1,70","2,37","2,37","1,66","73,21M","-5,50%"
"21.03.2022","1,80","2,72","2,80","1,69","85,22M","0,00%"
"18.03.2022","1,80","2,39","2,49","1,70","208,55M","-4,76%"
"17.03.2022","1,89","2,30","2,58","1,76","153,36M","-14,09%"
"16.03.2022","2,20","2,10","2,50","2,00","124,66M","0,00%"
"15.03.2022","2,20","2,42","3,03","1,72","76,13M","-26,67%"
"14.03.2022","3,00","3,70","4,00","2,00","64,55M","9,09%"
"11.03.2022","2,75","2,67","3,15","2,21","40,04M","0,00%"
"10.03.2022","2,75","3,25","3,77","2,00","78,42M","-14,06%"
"09.03.2022","3,20","3,00","4,00","2,50","78,80M","6,67%"
"08.03.2022","3,00","2,56","4,39","0,78","113,76M","20,00%"
"07.03.2022","2,50","1,83","3,38","1,55","111,85M","32,98%"
"04.03.2022","1,88","1,85","2,14","0,98","418,09M","4,44%"
"03.03.2022","1,80","2,01","2,67","1,61","210,21M","-10,00%"
"02.03.2022","2,00","4,15","5,95","2,00","91,83M","-59,76%"
"01.03.2022","4,97","7,95","8,41","4,00","38,91M","-37,88%"
"28.02.2022","8,00","8,70","9,25","6,85","68,91M","-15,70%"
"25.02.2022","9,49","10,00","12,35","9,20","24,60M","-5,10%"
"24.02.2022","10,00","14,03","14,03","9,15","43,25M","-27,01%"
"23.02.2022","13,70","12,27","13,78","12,27","9,45M","3,71%"
"22.02.2022","13,21","12,40","13,21","10,95","22,05M","-0,38%"
"21.02.2022","13,26","16,52","16,52","13,11","34,72M","-17,02%"
"18.02.2022","15,98","15,30","16,13","15,30","13,86M","-0,13%"
"17.02.2022","16,00","16,52","16,52","15,52","6,72M","0,00%"
"16.02.2022","16,00","16,46","16,46","15,63","7,46M","1,91%"
"15.02.2022","15,70","16,52","16,52","15,36","12,42M","3,29%"
"14.02.2022","15,20","14,86","15,28","14,40","5,20M","1,33%"
"11.02.2022","15,00","16,00","16,00","14,85","8,35M","-4,52%"
"10.02.2022","15,71","15,51","16,47","15,37","6,22M","2,48%"
"09.02.2022","15,33","14,50","15,38","14,50","3,05M","2,40%"
"08.02.2022","14,97","15,42","15,42","14,50","5,39M","3,10%"
"07.02.2022","14,52","14,70","16,38","14,52","6,60M","-1,22%"
"04.02.2022","14,70","14,50","16,49","14,50","5,37M","1,10%"
"03.02.2022","14,54","14,90","16,51","14,54","3,77M","-3,58%"
"02.02.2022","15,08","15,00","16,49","14,95","4,57M","-0,79%"
"01.02.2022","15,20","14,50","16,48","14,50","5,21M","1,54%"
"31.01.2022","14,97","14,00","16,05","14,00","8,04M","3,89%"
"28.01.2022","14,41","14,38","14,74","14,02","20,23M","-2,77%"
"27.01.2022","14,82","15,87","15,87","14,00","6,30M","-0,67%"
"26.01.2022","14,92","15,85","15,94","14,84","5,86M","-0,27%"
"25.01.2022","14,96","15,00","15,10","14,41","17,42M","3,89%"
"24.01.2022","14,40","15,47","17,72","13,92","15,25M","-6,92%"
"21.01.2022","15,47","16,47","17,09","15,43","7,15M","-3,67%"
"20.01.2022","16,06","17,96","17,96","15,70","12,03M","3,48%"
"19.01.2022","15,52","14,79","15,78","14,79","27,59M","5,15%"
"18.01.2022","14,76","18,93","18,93","14,50","45,04M","-11,46%"
"17.01.2022","16,67","16,06","17,05","16,06","4,45M","-1,01%"
"14.01.2022","16,84","17,31","17,73","16,78","10,70M","-5,82%"
"13.01.2022","17,88","17,34","20,38","17,34","5,68M","-0,67%"
"12.01.2022","18,00","18,46","19,07","16,01","10,25M","-0,66%"
"11.01.2022","18,12","17,18","18,50","17,18","9,00M","-0,49%"
"10.01.2022","18,21","20,00","20,68","17,99","6,56M","-0,33%"
