"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","daily","sGARCH","norm","1,1","0,0","-2.83621037874521",0.00046192983080906
"2","daily","sGARCH","norm","1,1","0,1","-2.84351234296352",0.0291682011713114
"3","daily","sGARCH","norm","1,1","0,2","-2.84683945290009",7.01442398653995e-06
"4","daily","sGARCH","norm","1,1","0,3","-2.84541408777846",5.21449883272851e-10
"5","daily","sGARCH","norm","1,1","0,4","-2.84308696236752",2.25930385511219e-13
"6","daily","sGARCH","norm","1,1","1,0","-2.84132855354426",0.0573194404370309
"7","daily","sGARCH","norm","1,1","1,1","-2.85063807986788",1.70474745431193e-12
"8","daily","sGARCH","norm","1,1","1,2","-2.84741903577659",3.64264174379514e-13
"9","daily","sGARCH","norm","1,1","1,3","-2.84410746228636",1.25899290992493e-13
"10","daily","sGARCH","norm","1,1","1,4","-2.84078775524012",1.37667655053519e-14
"11","daily","sGARCH","norm","1,1","2,0","-2.84411072848488",0.0270660494728906
"12","daily","sGARCH","norm","1,1","2,1","-2.84741468229081",3.68149954965702e-13
"13","daily","sGARCH","norm","1,1","2,2","-2.84410396237651",8.59312621059871e-14
"14","daily","sGARCH","norm","1,1","2,3","-2.84146729808",1.48769885299771e-14
"15","daily","sGARCH","norm","1,1","2,4","-2.834090927152",2.52459186889098e-09
"16","daily","sGARCH","norm","1,1","3,0","-2.84262690564258",0.000473598392352059
"17","daily","sGARCH","norm","1,1","3,1","-2.83931258138913",0.00553684563395174
"18","daily","sGARCH","norm","1,1","3,2","-2.84232645464071",0
"19","daily","sGARCH","norm","1,1","3,3","-2.83885051327426",0
"20","daily","sGARCH","norm","1,1","3,4","-2.83442923963524",0.000501103406750358
"21","daily","sGARCH","norm","1,1","4,0","-2.84040514118969",2.97768603219062e-07
"22","daily","sGARCH","norm","1,1","4,1","-2.84055898479433",1.18793863634892e-14
"23","daily","sGARCH","norm","1,1","4,2","-2.83722601883335",6.99440505513849e-15
"24","daily","sGARCH","norm","1,1","4,3","-2.83441019680345",1.11022302462516e-16
"25","daily","sGARCH","norm","1,2","0,0","-2.83298051316584",0.00046192983080906
"26","daily","sGARCH","norm","1,2","0,1","-2.84027764369713",0.0292769113493936
"27","daily","sGARCH","norm","1,2","0,2","-2.84350672630751",7.01456638196873e-06
"28","daily","sGARCH","norm","1,2","0,3","-2.8420813594752",5.20274601178983e-10
"29","daily","sGARCH","norm","1,2","0,4","-2.83975423223629",2.26152430116144e-13
"30","daily","sGARCH","norm","1,2","1,0","-2.83809562501965",0.0573475823878368
"31","daily","sGARCH","norm","1,2","1,1","-2.8474035245002",1.75626180265454e-12
"32","daily","sGARCH","norm","1,2","1,2","-2.84408630897097",3.63153951354889e-13
"33","daily","sGARCH","norm","1,2","1,3","-2.84077473497459",1.2534417948018e-13
"34","daily","sGARCH","norm","1,2","1,4","-2.83745501834829",1.36557432028894e-14
"35","daily","sGARCH","norm","1,2","2,0","-2.84077799629213",0.0270666854982158
"36","daily","sGARCH","norm","1,2","2,1","-2.84408195395384",3.68149954965702e-13
"37","daily","sGARCH","norm","1,2","2,2","-2.84159172651827",1.65201186064223e-13
"38","daily","sGARCH","norm","1,2","2,3","-2.83745435982596",2.55351295663786e-14
"39","daily","sGARCH","norm","1,2","2,4","-2.83844396108399",6.23037340719002e-07
"40","daily","sGARCH","norm","1,2","3,0","-2.83929417447206",0.000472709292427709
"41","daily","sGARCH","norm","1,2","3,1","-2.84082994462735",1.42663658664333e-13
"42","daily","sGARCH","norm","1,2","3,2","-2.84009261557324",1.7874590696465e-14
"43","daily","sGARCH","norm","1,2","3,3","-2.84825257702544",2.40130137996175e-12
"44","daily","sGARCH","norm","1,2","3,4","-2.83121812978669",8.88178419700125e-16
"45","daily","sGARCH","norm","1,2","4,0","-2.83707240736793",2.97560555972964e-07
"46","daily","sGARCH","norm","1,2","4,1","-2.83722625068958",1.16573417585641e-14
"47","daily","sGARCH","norm","1,2","4,2","-2.83562741420383",5.55111512312578e-16
