"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","daily","sGARCH","norm","1,1","0,0","-3.92734915036512",2.45139020194074e-09
"2","daily","sGARCH","norm","1,1","0,1","-3.9241413453324",1.81384907094184e-11
"3","daily","sGARCH","norm","1,1","0,2","-3.92121212320666",2.48130405111624e-11
"4","daily","sGARCH","norm","1,1","0,3","-3.91786240087795",2.19468887507901e-12
"5","daily","sGARCH","norm","1,1","0,4","-3.91513450443243",1.3944401189292e-13
"6","daily","sGARCH","norm","1,1","1,0","-3.92414822204137",1.48222545348631e-11
"7","daily","sGARCH","norm","1,1","1,1","-3.92107256349819",2.47435405498209e-12
"8","daily","sGARCH","norm","1,1","1,2","-3.91818183644181",1.04016795177131e-12
"9","daily","sGARCH","norm","1,1","1,3","-3.91477469982699",1.0991207943789e-13
"10","daily","sGARCH","norm","1,1","1,4","-3.91184166526231",1.85407245112401e-14
"11","daily","sGARCH","norm","1,1","2,0","-3.92122990600346",3.24384963334978e-11
"12","daily","sGARCH","norm","1,1","2,1","-3.91816370697989",1.43718370537727e-12
"13","daily","sGARCH","norm","1,1","2,2","-3.92195731239915",2.61790589206612e-13
"14","daily","sGARCH","norm","1,1","2,3","-3.91571257951025",5.99520433297585e-14
"15","daily","sGARCH","norm","1,1","2,4","-3.91380893601816",1.94289029309402e-14
"16","daily","sGARCH","norm","1,1","3,0","-3.91788601725175",2.96207502969992e-12
"17","daily","sGARCH","norm","1,1","3,1","-3.91511702487007",4.82724971107018e-13
"18","daily","sGARCH","norm","1,1","3,2","-3.91697115671589",0
"19","daily","sGARCH","norm","1,1","3,3","-3.91704737409721",2.44249065417534e-14
"20","daily","sGARCH","norm","1,1","3,4","-3.90971026098272",6.10622663543836e-15
"21","daily","sGARCH","norm","1,1","4,0","-3.9150169171242",2.79887224508002e-13
"22","daily","sGARCH","norm","1,1","4,1","-3.91171539236704",3.68594044175552e-14
"23","daily","sGARCH","norm","1,1","4,2","-3.91495029056293",2.22044604925031e-16
"24","daily","sGARCH","norm","1,1","4,3","-3.91047428194088",0
"25","daily","sGARCH","norm","1,2","0,0","-3.92991887860344",2.45139020194074e-09
"26","daily","sGARCH","norm","1,2","0,1","-3.92681737079376",3.55826479392363e-12
"27","daily","sGARCH","norm","1,2","0,2","-3.92407637156855",4.84812190393313e-12
"28","daily","sGARCH","norm","1,2","0,3","-3.92077842980601",3.68371999570627e-13
"29","daily","sGARCH","norm","1,2","0,4","-3.91783040341733",3.58602036953926e-14
"30","daily","sGARCH","norm","1,2","1,0","-3.92683235849941",2.53097542923797e-12
"31","daily","sGARCH","norm","1,2","1,1","-3.92380127635042",6.63913368725844e-13
"32","daily","sGARCH","norm","1,2","1,2","-3.92100552533159",2.6434410216325e-13
"33","daily","sGARCH","norm","1,2","1,3","-3.91762478453593",2.76445533131664e-14
"34","daily","sGARCH","norm","1,2","1,4","-3.9145135289039",5.32907051820075e-15
"35","daily","sGARCH","norm","1,2","2,0","-3.92408152908062",6.72328859252502e-12
"36","daily","sGARCH","norm","1,2","2,1","-3.92098348827272",3.74478226206065e-13
"37","daily","sGARCH","norm","1,2","2,2","-3.91897655508913",1.08801856413265e-14
"38","daily","sGARCH","norm","1,2","2,3","-3.91716262573946",3.86357612569554e-14
"39","daily","sGARCH","norm","1,2","2,4","-3.91399940715839",1.01030295240889e-14
"40","daily","sGARCH","norm","1,2","3,0","-3.9207880936327",5.14699394216223e-13
"41","daily","sGARCH","norm","1,2","3,1","-3.91759255967054",4.49640324973188e-14
"42","daily","sGARCH","norm","1,2","3,2","-3.91480143597334",3.21964677141295e-15
"43","daily","sGARCH","norm","1,2","3,3","-3.91377160889396",1.11022302462516e-16
"44","daily","sGARCH","norm","1,2","3,4","-3.91338155944698",0
"45","daily","sGARCH","norm","1,2","4,0","-3.91773322241446",6.15063555642337e-14
"46","daily","sGARCH","norm","1,2","4,1","-3.91441085729614",9.43689570931383e-15
"47","daily","sGARCH","norm","1,2","4,2","-3.91922697503233",0
"48","daily","sGARCH","norm","1,2","4,3","-3.9112443235496",7.7715611723761e-16
"49","daily","sGARCH","norm","1,3","0,0","-3.92691013185643",2.45139020194074e-09
"50","daily","sGARCH","norm","1,3","0,1","-3.92390789425966",9.67559365960824e-13
"51","daily","sGARCH","norm","1,3","0,2","-3.92120666980444",1.13553610958661e-12
"52","daily","sGARCH","norm","1,3","0,3","-3.91806837515592",4.80726569662693e-14
"53","daily","sGARCH","norm","1,3","0,4","-3.9150536488294",5.77315972805081e-15
"54","daily","sGARCH","norm","1,3","1,0","-3.92393119894155",6.11621864265999e-13
"55","daily","sGARCH","norm","1,3","1,1","-3.92090148453706",2.18047802036381e-13
"56","daily","sGARCH","norm","1,3","1,2","-3.91817498895516",5.57331958361829e-14
"57","daily","sGARCH","norm","1,3","1,3","-3.91490506514569",4.21884749357559e-15
"58","daily","sGARCH","norm","1,3","1,4","-3.91172942460191",8.88178419700125e-16
"59","daily","sGARCH","norm","1,3","2,0","-3.92119924588986",1.74915637529693e-12
"60","daily","sGARCH","norm","1,3","2,1","-3.91814104454082",8.81517081552374e-14
"61","daily","sGARCH","norm","1,3","2,2","-3.91604878390996",1.0325074129014e-14
"62","daily","sGARCH","norm","1,3","2,3","-3.914269908147",8.43769498715119e-15
"63","daily","sGARCH","norm","1,3","2,4","-3.9142821582239",1.11022302462516e-15
"64","daily","sGARCH","norm","1,3","3,0","-3.91806509360143",7.41628980449605e-14
"65","daily","sGARCH","norm","1,3","3,1","-3.91486023844466",7.21644966006352e-15
"66","daily","sGARCH","norm","1,3","3,2","-3.9180904369922",0
"67","daily","sGARCH","norm","1,3","3,3","-3.9110805997067",2.46469511466785e-14
"68","daily","sGARCH","norm","1,3","3,4","-3.90798722224349",0
"69","daily","sGARCH","norm","1,3","4,0","-3.91494987259969",9.76996261670138e-15
"70","daily","sGARCH","norm","1,3","4,1","-3.91162190535882",1.55431223447522e-15
"71","daily","sGARCH","norm","1,3","4,2","-3.90908852401719",1.99840144432528e-15
"72","daily","sGARCH","norm","1,3","4,3","-3.90823053811262",0
"73","daily","sGARCH","norm","2,1","0,0","-3.92388277881061",2.45139020194074e-09
"74","daily","sGARCH","norm","2,1","0,1","-3.92067455888078",1.82909243306995e-11
"75","daily","sGARCH","norm","2,1","0,2","-3.91787940643347",2.46236364631613e-11
"76","daily","sGARCH","norm","2,1","0,3","-3.91452968666241",2.19446683047408e-12
"77","daily","sGARCH","norm","2,1","0,4","-3.91180178812711",1.39555034195382e-13
"78","daily","sGARCH","norm","2,1","1,0","-3.92068138146971",1.49309453689739e-11
"79","daily","sGARCH","norm","2,1","1,1","-3.91760667062302",2.47879494708059e-12
"80","daily","sGARCH","norm","2,1","1,2","-3.91484911900363",1.03372865822848e-12
"81","daily","sGARCH","norm","2,1","1,3","-3.9117142641945",4.0867309536452e-13
"82","daily","sGARCH","norm","2,1","1,4","-3.90850895679675",1.84297022087776e-14
"83","daily","sGARCH","norm","2,1","2,0","-3.9178971993012",3.24579252364288e-11
"84","daily","sGARCH","norm","2,1","2,1","-3.91487293695809",1.46471723638797e-12
"85","daily","sGARCH","norm","2,1","2,2","-3.91697241923804",2.7965629811888e-11
"86","daily","sGARCH","norm","2,1","2,3","-3.91314048779782",2.20934381900406e-14
"87","daily","sGARCH","norm","2,1","2,4","-3.90812334123871",4.71844785465692e-14
"88","daily","sGARCH","norm","2,1","3,0","-3.91455331841279",2.96285218581716e-12
"89","daily","sGARCH","norm","2,1","3,1","-3.91141067752817",1.90403248723214e-13
"90","daily","sGARCH","norm","2,1","3,2","-3.90862213196775",1.57651669496772e-14
"91","daily","sGARCH","norm","2,1","3,3","-3.90955600591095",2.639000129534e-13
"92","daily","sGARCH","norm","2,1","3,4","-3.9075084621578",0
"93","daily","sGARCH","norm","2,1","4,0","-3.91168422110078",2.79887224508002e-13
"94","daily","sGARCH","norm","2,1","4,1","-3.90838267967473",3.71924713249427e-14
"95","daily","sGARCH","norm","2,1","4,2","-3.91161757132509",2.22044604925031e-16
"96","daily","sGARCH","norm","2,1","4,3","-3.90619828351904",2.78665979180914e-14
"97","daily","sGARCH","norm","2,2","0,0","-3.92658614664159",2.45139020194074e-09
"98","daily","sGARCH","norm","2,2","0,1","-3.92348463280574",3.55349083491774e-12
"99","daily","sGARCH","norm","2,2","0,2","-3.92074363912115",4.84901008235283e-12
"100","daily","sGARCH","norm","2,2","0,3","-3.91744569490673",3.68038932663239e-13
"101","daily","sGARCH","norm","2,2","0,4","-3.9144976752435",3.58602036953926e-14
"102","daily","sGARCH","norm","2,2","1,0","-3.92349962855602",2.52475818030007e-12
"103","daily","sGARCH","norm","2,2","1,1","-3.92046853499448",6.63913368725844e-13
"104","daily","sGARCH","norm","2,2","1,2","-3.9176728040068",2.64899213675562e-13
"105","daily","sGARCH","norm","2,2","1,3","-3.91429205246372",2.75335310107039e-14
"106","daily","sGARCH","norm","2,2","1,4","-3.91118080810169",5.32907051820075e-15
"107","daily","sGARCH","norm","2,2","2,0","-3.92074880373714",6.68931576797149e-12
"108","daily","sGARCH","norm","2,2","2,1","-3.91765075194768",3.7470027081099e-13
"109","daily","sGARCH","norm","2,2","2,2","-3.91564382572268",1.0991207943789e-14
"110","daily","sGARCH","norm","2,2","2,3","-3.91382990052415",3.85247389544929e-14
"111","daily","sGARCH","norm","2,2","2,4","-3.90918910076993",0
"112","daily","sGARCH","norm","2,2","3,0","-3.91745535844692",5.1414428270391e-13
"113","daily","sGARCH","norm","2,2","3,1","-3.91425982486218",4.48530101948563e-14
"114","daily","sGARCH","norm","2,2","3,2","-3.91917233056681",8.43769498715119e-15
"115","daily","sGARCH","norm","2,2","3,3","-3.91646980419159",0
"116","daily","sGARCH","norm","2,2","3,4","-3.90748459925065",1.11022302462516e-16
"117","daily","sGARCH","norm","2,2","4,0","-3.91440049753625",6.15063555642337e-14
"118","daily","sGARCH","norm","2,2","4,1","-3.91107813024193",9.43689570931383e-15
"119","daily","sGARCH","norm","2,2","4,2","-3.91589424310459",0
"120","daily","sGARCH","norm","2,2","4,3","-3.91362018945253",0
"121","daily","sGARCH","norm","2,3","0,0","-3.92364938008818",2.45139020194074e-09
"122","daily","sGARCH","norm","2,3","0,1","-3.92067234472399",7.31192884018128e-13
"123","daily","sGARCH","norm","2,3","0,2","-3.91799086731132",8.26005930321116e-13
"124","daily","sGARCH","norm","2,3","0,3","-3.9148899098748",2.87547763377916e-14
"125","daily","sGARCH","norm","2,3","0,4","-3.91185611732127",3.33066907387547e-15
"126","daily","sGARCH","norm","2,3","1,0","-3.92069796484148",4.45754544387e-13
"127","daily","sGARCH","norm","2,3","1,1","-3.91766455047667",1.6153745008296e-13
"128","daily","sGARCH","norm","2,3","1,2","-3.91498963709448",3.69704267200177e-14
"129","daily","sGARCH","norm","2,3","1,3","-3.91173409766573",2.44249065417534e-15
"130","daily","sGARCH","norm","2,3","1,4","-3.90853297916013",5.55111512312578e-16
"131","daily","sGARCH","norm","2,3","2,0","-3.91797909293449",1.31827881943991e-12
"132","daily","sGARCH","norm","2,3","2,1","-3.91495014174932",6.10622663543836e-14
"133","daily","sGARCH","norm","2,3","2,2","-3.91287009213216",9.32587340685131e-15
"134","daily","sGARCH","norm","2,3","2,3","-3.91106468584208",5.21804821573824e-15
"135","daily","sGARCH","norm","2,3","2,4","-3.90563132281648",0
"136","daily","sGARCH","norm","2,3","3,0","-3.91488380721675",4.55191440096314e-14
"137","daily","sGARCH","norm","2,3","3,1","-3.91168366879795",4.32986979603811e-15
"138","daily","sGARCH","norm","2,3","3,2","-3.90901680454253",3.33066907387547e-16
"139","daily","sGARCH","norm","2,3","3,3","-3.90787386315356",2.26485497023532e-14
"140","daily","sGARCH","norm","2,3","3,4","-3.91288997361445",0
"141","daily","sGARCH","norm","2,3","4,0","-3.91174707735724",5.6621374255883e-15
"142","daily","sGARCH","norm","2,3","4,1","-3.90841978877732",8.88178419700125e-16
"143","daily","sGARCH","norm","2,3","4,2","-3.91330041281671",0
"144","daily","sGARCH","norm","2,3","4,3","-3.9099276664967",0
"145","daily","sGARCH","norm","3,1","0,0","-3.92049972605915",2.45139020194074e-09
"146","daily","sGARCH","norm","3,1","0,1","-3.91729156024094",1.82663884018552e-11
"147","daily","sGARCH","norm","3,1","0,2","-3.91444388290106",2.48281395442973e-11
"148","daily","sGARCH","norm","3,1","0,3","-3.91119697458933",2.19402274126423e-12
"149","daily","sGARCH","norm","3,1","0,4","-3.90846907435308",1.39666056497845e-13
"150","daily","sGARCH","norm","3,1","1,0","-3.91724572640038",1.50545131916147e-11
"151","daily","sGARCH","norm","3,1","1,1","-3.91422078040521",2.50266474211003e-12
"152","daily","sGARCH","norm","3,1","1,2","-3.91145207987206",1.07724940079379e-12
"153","daily","sGARCH","norm","3,1","1,3","-3.90782423125264",1.41586742330446e-12
"154","daily","sGARCH","norm","3,1","1,4","-3.90521795716186",1.86517468137026e-14
"155","daily","sGARCH","norm","3,1","2,0","-3.91450692769449",3.22623039394898e-11
"156","daily","sGARCH","norm","3,1","2,1","-3.91139219793827",1.46183065652394e-12
"157","daily","sGARCH","norm","3,1","2,2","-3.91297500776943",1.19382281837943e-11
"158","daily","sGARCH","norm","3,1","2,3","-3.90915546092908",6.0063065632221e-14
"159","daily","sGARCH","norm","3,1","2,4","-3.90479062227179",4.71844785465692e-14
"160","daily","sGARCH","norm","3,1","3,0","-3.91126630118137",2.92288415693065e-12
"161","daily","sGARCH","norm","3,1","3,1","-3.90812051358089",1.92290627865077e-13
"162","daily","sGARCH","norm","3,1","3,2","-3.90528941371744",1.57651669496772e-14
"163","daily","sGARCH","norm","3,1","3,3","-3.90588341122467",9.53259693403652e-12
"164","daily","sGARCH","norm","3,1","3,4","-3.90262109938997",6.10622663543836e-15
"165","daily","sGARCH","norm","3,1","4,0","-3.90835150098349",2.79887224508002e-13
"166","daily","sGARCH","norm","3,1","4,1","-3.90504996871213",3.68594044175552e-14
"167","daily","sGARCH","norm","3,1","4,2","-3.90470596408314",2.44249065417534e-14
"168","daily","sGARCH","norm","3,1","4,3","-3.90385169127136",5.55111512312578e-16
"169","daily","sGARCH","norm","3,2","0,0","-3.92317377264325",2.45139020194074e-09
"170","daily","sGARCH","norm","3,2","0,1","-3.92007068206133",3.63109542433904e-12
"171","daily","sGARCH","norm","3,2","0,2","-3.9173307023101",4.95969931790796e-12
